기업명,관리종목여부,년도,유동자산,현금및현금성자산,재고자산,매출채권,기타유동자산,비유동자산,유형자산,무형자산,투자부동산,기타비유동자산,자산총계,유동부채,매입채무,기타유동부채,비유동부채,부채총계,자본금,이익잉여금,기타자본구성요소,자본총계,부채와자본총계,매출액,매출원가,매출총이익(손실),판매비와관리비,영업이익(손실),금융수익,금융비용,법인세차감전순이익(손실),법인세비용,당기순이익(손실),총포괄손익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,현금및현금성자산의순증가,기초현금및현금성자산,기말현금및현금성자산
이엠앤아이,Y,2016,60648059470,1035324888,952114910,49060608058,,42134845040,7854556184,2722130085,,,102782904510,36982166195,11574513536,,6235125483,43217291678,,16294863965,,59565612832,102782904510,79807063217,-63562693544,16244369673,7992552000,2752882514,4492030441,3950066677,3706172071,327504504,3378667567,3651245897,-5375051626,-4264070745,9353200000,-285272358,1320597246,1035324888
이엠앤아이,Y,2017,48493178058,1596857366,1647789667,31090151812,,27999433458,7178458542,912207669,,,76492611516,41124733127,6436798701,,2200321679,43325054806,,-10241116919,,33167556710,76492611516,69659102950,59061696286,10597406664,6885332040,944112120,2379810682,7452466595,-26136257345,599550906,-26735808251,-27395961918,7358458499,-12463716103,5670189136,561532478,1035324888,1596857366
이엠앤아이,Y,2018,4212115750,61515230,4843699,854590935,,9667063869,4921443853,0,,,13879179619,47519037211,5084756667,,85205545,47604242756,,-80624574866,,-33725063137,13879179619,431454980,170156341,261298639,237404530,-158946936,5231692,1254628,-16916385846,0,-69866099558,-70892618267,2884687681,5228540285,-9648541768,-1535342136,1596857366,61515230
이엠앤아이,Y,2019,5488300892,129153219,4843699,1197415519,,3745297101,48376846,0,,,9233597993,4110736464,803820811,,25399635,4136136099,,-50433378571,,5097461894,9233597993,1236681480,1175421599,61259881,2467138258,-2586140479,9099289,516732950,29982987418,0,29969603469,30191196295,-2822215613,760294546,2129582941,67637989,61515230,129153219
이큐셀,Y,2015,35337394860,6796874696,1409425804,6736214170,,18187609500,10232678259,6348138277,,,53525004360,20881014483,7375615539,,628373573,21509388056,,18293658554,,32015616304,53525004360,55853400328,40534831149,15318569179,7963279043,7355290136,136323557,432916218,7361185097,987850768,6373334329,6373334329,-3111661582,-1941434974,7149399845,2081677792,4715196904,6796874696
이큐셀,Y,2016,35673649404,4570231846,2522242917,2674672800,,21010646290,10188056467,6384772215,,,56684295694,12135671781,5698611619,,11693618080,23829289861,,19099696909,,32855005833,56684295694,66644574783,56827373351,9817201432,9347479999,469721433,72610233,341062441,288234851,-517803504,806038355,806038355,2008318643,-8020158506,3782566102,-2226642850,6796874696,4570231846
이큐셀,Y,2017,39251547031,6724258209,1303493287,25930032501,,28032143432,10308834588,5552548108,,,67283690463,21416588343,10469209673,,7741425422,29158013765,,20882445498,,38125676698,67283690463,60418823572,47984356874,12434466698,10190536901,2243929797,51533591,348165632,642286414,-1140462175,1782748589,1782748589,-1021440844,-5333991255,8536586156,2154026363,4570231846,6724258209
이큐셀,Y,2018,49150906408,11869091202,15637031929,18855856224,,27971075758,5698482846,4660011177,,,77121982166,37067929076,21148681031,,1384592471,38452521547,,20313304790,,38669460619,77121982166,112168340504,96396441985,15771898519,10478136440,5293762079,651106313,595097325,7204693907,1385297121,5819396786,,6840340704,-108310552,-1581796308,5144832993,6724258209,11869091202
이큐셀,Y,2019,39743976238,6919305851,4909937766,24690758780,,36709392860,5872694240,1952184998,,,76453369098,55268196723,12772701006,,2338407260,57606603983,,-19255881195,,18846765115,76453369098,92640985325,110660789230,-18019803905,11057493804,-29077297709,3134919914,3751978351,-37856483484,-1712702501,-39569185985,-39569185985,-17344242349,-26756743507,39141828827,-4949785351,11869091202,6919305851
일야,Y,2015,13122661382,6028563340,930204758,3014948310,,24399309224,22247700344,938787500,60710053,,37521970606,8177786658,5452406361,,4658169641,12835956299,,12782514802,,24686014307,37521970606,65600443196,56557322270,9043120926,5381086075,3662034851,170999039,181513305,2060082864,-783814284,2843897148,2577610008,3009289031,-3143619309,213388655,81103741,5947459599,6028563340
일야,Y,2016,12615706658,3825088641,1088330981,3488204209,,28002545041,26620361009,542750000,58255911,,40618251699,11270164999,8599790252,,3605173533,14875338532,,14110673302,,25742913167,40618251699,73896030890,65296225934,8599804956,6016304502,2583500454,236294844,167329892,1470967119,-607919805,2078886924,2126098860,7024067113,-7620353018,-1608588694,-2203474699,6028563340,3825088641
일야,Y,2017,9374850062,2995077953,1776539010,3349917937,,23592931564,21928546731,531750000,93313330,,32967781626,9518009732,9480974294,,2542265186,12060274918,,8690247809,,20907506708,32967781626,42797946638,40738469843,2059476795,5165710751,-3106233956,136855900,278288107,-4565014949,-217777939,-4782792888,-4835406459,-6708378800,3432254283,2455008399,-830010688,3825088641,2995077953
