,기업명,기업코드
654,대홍방직,00200549
655,도투락,00114543
656,해덕기업,00197607
657,이수금속,00258263
658,세미코리아,00363617
659,정방종합건설,00450287
660,성우종합건설,00413082
661,신아토건,00449537
662,한일염공,00163071
663,코스모건설,00453239
664,한국방송출판,00414267
665,태성개발,00349088
666,월성주택건설,00451514
667,심도산업,00386830
668,코리아라이닝,00410128
669,한라종합건설,00161198
670,삼안공영,00126849
671,제석주택,00437824
672,한국모빌솔루션,00363176
673,연화상사,00299871
674,현대티타늄,00336686
675,한강온천,00340892
676,나우아이엔에스,00415725
677,디아이씨,00306205
678,비앤에스아이엔씨,00371351
679,창원건설,00369851
680,알루테크,00415840
681,대상하이디어,00246666
682,태강산업,00153296
683,한륙전자,00161268
684,영신산업,00210476
685,이사이트랩,00365581
686,영신플랜트,00183598
687,정연산업,00417088
688,아코텔레콤,00415062
689,대영,00172529
690,프라임플러스캐피탈,00407337
691,에스티지시큐리티,00405092
692,보성설비,00226060
693,록정개발,00206349
694,신아스포츠,00217035
695,뉴라인여신금융,00224318
696,중소기업제삼차유동화전문유한회사,00424945
697,알비에이,00428604
698,체리스톤코리아,00424565
699,세모화학,00226574
700,리딩씨앤씨,00425157
701,폴리코,00427340
702,산은굿밸류제일차유동화전문유한회사,00427429
703,이프리즘,00420453
704,디미디어,00403696
705,유피텍,00417592
706,티브이가이드,00365998
707,스타코리아웹케스팅,00412913
708,아라정보기술,00421355
709,코리아컨텐츠네트워크,00426439
710,티티월드,00427386
711,흥산건설,00167129
712,연덕건설,00217707
713,비추미코리아제일차유동화전문유한회사,00426518
714,크레디피아제삼십오차유동화전문유한회사,00426536
715,아하론제삼차유동화전문유한회사,00426545
716,동원제일차유동화전문,00335951
717,케이투이,00436588
718,지영상사,00435349
719,아주의대벤처메딕스,00331450
720,엑스퍼트유동화전문유한회사,00341952
721,마이에셋유동화전문유한회사,00342739
722,한아름제2차유동화전문유한회사,00342988
723,에셋외환카드제이차유동화전문유한회사,00436241
724,에셋외환카드제육차유동화전문유한회사,00436269
725,타이거유동화전문유한회사,00436296
726,서한전자,00237491
727,동원직물,00118099
728,청유,00436685
729,서울전산,00437107
730,씨에스,00436490
731,선암건설,00436524
732,아세텔레콤,00435923
733,우리엘비제칠차유동화전문유한회사,00437541
734,지오택드레인,00437569
735,몬덱스코리아,00336385
736,서광티앤씨,00198253
737,로직스컴퓨터,00354062
738,RedTulipInvestments,00311818
739,아이산업개발,00452267
740,비코레트,00446141
741,강남산업,00245117
742,우림엔지니어링건축사사무소,00451365
743,백현건설,00263627
744,남흥,00257440
745,우연종합건설,00413912
746,용성조선,00362618
747,송원자동차조명,00202404
748,태산종합건설,00450773
749,근도물산,00252852
750,씨에스피산업,00451879
751,삼흥판지,00181217
752,인터내셔날쥬피텍,00375728
753,대륙종합건설,00445823
754,마시나코아,00387167
755,부천산업,00256885
756,바롬테크,00452674
757,대방종합건설,00449421
758,영도섬유,00209230
759,미디어파트너스,00412311
760,한이해운,00233741
761,금영,00299400
762,대준섬유,00112518
763,두일,00416760
764,벽송종합건설,00397438
765,평해건설,00198615
766,대동제지공업,00363228
767,동서디엔씨,00415257
768,케미스,00369365
769,텔리맨,00405126
770,과일나라,00415266
771,넷츠고,00361354
772,동승건설,00415275
773,주영크리에이션,00367446
774,태광엔터프라이즈,00415673
775,한주종합건설,00171751
776,유정건설,00416797
777,세광종합건설,00193407
778,금양레포츠,00365943
779,게임벤처,00363060
780,마이애셋사모M&A펀드B호,00418892
781,하나로밀레니엄,00418917
782,메트로에이전시,00417370
783,국민카드제십차유동화전문유한회사,00427508
784,시봉전자,00367987
785,두산스피리츠,00428020
786,게토코리아,00382296
787,"AmkorTechnology,Inc.",00297332
788,에이피엠쇼핑몰,00378929
789,코텍,00384735
790,아이거넷,00303572
791,도원닷컴,00399250
792,맥쿼리장기채권형펀드,00434951
793,세이리딩스톡혼합형펀드,00434988
794,세이고배당장기증권저축펀드,00434997
795,세이고배당주식형펀드,00435002
796,맥쿼리IMM슈페리어채권형사모펀드,00435136
797,KTB채권형펀드,00434331
798,글로벌퍼펙트혼합형펀드,00434359
799,삼성중소형알짜주식형뮤추얼펀드,00434377
800,KTB장기증권저축펀드1호,00434386
801,KTB에이플러스2호혼합형사모펀드,00434438
802,비비앤씨,00286877
803,대청산업,00436913
804,링컨아카데미,00436366
805,디아이컨설팅,00369116
806,네띠앙,00261577
807,크레디피아제삼십팔차유동화전문유한회사,00434261
808,산내들축산,00222204
809,거장주택건설,00436153
810,쓰리디컴넷,00437967
811,대양식품,00435914
812,태강건설,00435899
813,국제전자정밀,00437383
814,투어토털닷컴,00351825
815,드림미르,00415008
816,부광,00436968
817,도원건설,00436852
818,현우유통,00436393
819,엘리온정보기술,00261142
820,지석공영,00439406
821,에쓰엠제일차자산유동화전문,00421559
822,뉴밀레니엄코람제이차유동화전문유한회사,00387060
823,렉스상사,00434067
824,보나뱅크,00446938
825,토탈메드,00413161
826,엔트,00450409
827,협성염공,00430283
828,디비엔지니어링,00370875
829,삼양텍스,00230878
830,얄개네트워크,00409867
831,지트랜코리아,00385044
832,삼보,00173245
833,국민카드제구차유동화전문유한회사,00423812
834,국민카드제십일차유동화전문유한회사,00425661
835,하나로제4차유동화전문회사,00273907
836,와이디세이프유동화전문유한회사,00283533
837,늘푸른마을,00445966
838,이노크래프트,00450001
839,강동종합유선방송,00449555
840,한림하우징,00452443
841,아이티엠,00366836
842,코산아이엔티,00444426
843,미광핸드백,00261665
844,신정건설,00363945
845,코이넬,00414832
846,서울제일차유동화전문유한회사,00383161
847,이지닷컴,00163026
848,지에프엠에스,00414610
849,언아더월드,00415947
850,로티스,00304605
851,이파워게이트,00414957
852,윤진개발,00416229
853,레이디,00120243
854,미트마트옥션,00411659
855,아싸,00198314
856,웰리치개발,00413408
857,항도종합금융,00163965
858,아이텍테크널러지,00416724
859,중앙제약,00218502
860,우남산업,00364175
861,윈로지스뉴톤보레알,00417422
862,한국지방재정공제회,00417981
863,창도건설,00307046
864,부국개발,00237349
865,유경엔지니어링,00414364
866,한국레이저영상,00417626
867,뷰텍,00414337
868,씨에이블,00418050
869,아토메가,00415567
870,도레미농산,00247984
871,다인개발,00371494
872,호만기업,00358147
873,갑을개발,00150554
874,에버그린유동화전문유한회사,00305279
875,맥트랜스인터내셔날,00386326
876,거봉,00100753
877,대산레미콘,00204703
878,크레딧크리에이터이천이유동화전문유한회사,00417316
879,신택,00207959
880,바티오테크,00411109
881,하우징그룹우신,00417477
882,통인물류정보통신,00414054
883,에스지에스컨테크,00303730
884,광호,00362229
885,펜다하우스,00317326
886,프르덴셜어슈어런스컴퍼니리티니드,00418430
887,KTB장기증권저축펀드,00434447
888,삼성인덱스프리미엄주식형뮤추얼펀드,00434517
889,KTB하이스타혼합형펀드,00434526
890,한국광학초자,00433721
891,광평개발,00434207
892,KTB밸류스타혼합형펀드,00434562
893,KTB글로벌스타주식형펀드,00434571
894,KTB프라임4호주식형사모펀드,00434580
895,KTB베스트바이혼합형펀드,00434599
896,KTB하이턴펀드,00434605
897,마이다스A등급채권혼합형펀드,00434614
898,맥쿼리아이엠엠프라임3혼합형사모펀드,00435145
899,피이아이코리아사모엠엔에이일호펀드,00396448
900,아담소프트,00430937
901,피델리티펀드,00423034
902,유리크레디트채권혼합형펀드,00435127
903,KTB프리미엄찬스혼합형펀드,00434544
904,KTB에이스찬스혼합형펀드,00434553
905,다린정보,00432050
906,기보캐피탈제일차유동화전문유한회사,00344843
907,엘에스에프프로퍼티투유동화전문,00371908
908,온디지털테크,00339090
909,캐피탈그룹인터내셔널인코포레이티드,00337986
910,세림아이텍,00206136
911,코스유동화전문유한회사,00440411
912,뉴밀레니엄하나유동화전문유한회사,00422309
913,동양정보통신M&A,00439257
