기업명,관리종목여부,년도,유동자산,현금및현금성자산,재고자산,매출채권,기타유동자산,비유동자산,유형자산,무형자산,투자부동산,기타비유동자산,자산총계,유동부채,매입채무,기타유동부채,비유동부채,부채총계,자본금,이익잉여금,기타자본구성요소,자본총계,부채와자본총계,매출액,매출원가,매출총이익(손실),판매비와관리비,영업이익(손실),금융수익,금융비용,법인세차감전순이익(손실),법인세비용,당기순이익(손실),총포괄손익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,현금및현금성자산의순증가,기초현금및현금성자산,기말현금및현금성자산
신성통상,N,2016,416880000000,14646766356,226032000000,164765000000,,314014000000,152337000000,996214388,14775613508,,730894000000,414634000000,86563165454,,57928700581,472562000000,71854195000,110493000000,,258332000000,730894000000,902349000000,578764000000,323585000000,283251000000,40333166760,1813642771,18880307047,17359177473,5419505027,11939672446,11264188392,-10322388095,-27125965142,26066040989,-11488343533,26135109889,14646766356
신성통상,N,2017,364960000000,20557162835,194159000000,134231000000,,292325000000,147534000000,785045324,14702434592,,657285000000,356381000000,73817378566,,47083179844,403464000000,71854195000,108465000000,,253821000000,657285000000,866552000000,581913000000,284639000000,265541000000,19098479885,1767787949,16080788564,-9058208746,-4663460129,-4394748617,-4510791703,65812327996,-17979632206,-41805781037,5910396479,14646766356,20557162835
신성통상,N,2018,388577000000,6867295303,219486000000,94179319862,,261134000000,142620000000,1032205823,14601855728,,649711000000,369946000000,351126000000,,49477276942,419423000000,71854195000,88257293296,,230288000000,649711000000,816673000000,528837000000,287837000000,262986000000,24850168194,1667946775,15816282767,11270869995,3737313887,7533556108,6809783759,4551374957,-17294660004,-778226058,-13521511105,20557162835,6867295303
신성통상,N,2019,421907000000,12264777140,254447000000,140742000000,,257222000000,142536000000,1132134435,14572397684,,679129000000,340203000000,306519000000,,105451000000,445655000000,71854195000,90729221908,,233474000000,679129000000,939798000000,595417000000,344381000000,297245000000,47135966614,1789489842,18778078396,14384147588,6675538940,7708608648,8819097062,9572694649,-16905508474,12786340067,5453526242,6867295303,12264777140
한국프랜지공업,N,2015,282338000000,424877591,104145000000,174513000000,,210643000000,146411000000,6208295390,,,492982000000,288712000000,179606000000,,12447536172,301160000000,30450420000,143344000000,,191822000000,492982000000,833341000000,795091000000,38250510509,33561607285,4688903224,2462177471,4190764682,7829161673,1002091151,6827070522,5577426691,49878675985,-24045536873,-25928275750,-95136638,520014229,424877591
한국프랜지공업,N,2016,261797000000,1686798086,104125000000,151829000000,,205699000000,141998000000,6129575600,,,467496000000,258324000000,162895000000,,10823133079,269147000000,30450420000,149812000000,,198349000000,467496000000,865513000000,830472000000,35040728276,31457933173,3582795103,3161990285,3300478016,6455210926,987901896,5467309030,6527151832,26478498556,-9106063563,-16110514498,1261920495,424877591,1686798086
한국프랜지공업,N,2017,228952000000,9588549904,96173903951,120476000000,,202834000000,139912000000,5869130000,,,431786000000,243020000000,147967000000,,9193992656,252214000000,30450420000,131392000000,,179571000000,431786000000,764872000000,750500000000,14372503588,31081646709,-16709143121,6015924629,2946993313,-15155270406,2948912517,-18104182923,-16877597843,27538522686,-10532255977,-8648938918,7901751818,1686798086,9588549904
한국프랜지공업,N,2018,248117000000,4267031374,98852868614,141541000000,,184631000000,130993000000,3150395020,,,432748000000,245545000000,176957000000,,8653608624,254199000000,30450420000,130380000000,,178549000000,432748000000,540076000000,511259000000,28817257793,28497256154,320001639,7534273141,3365948201,2378412067,1829905243,548506824,-1021861939,23191150684,-241126332,-28271542882,-5321518530,9588549904,4267031374
한국프랜지공업,N,2019,261534000000,23160885406,87101951441,149965000000,,171736000000,132007000000,3216595020,,,433270000000,228797000000,177005000000,,17245531664,246042000000,30450420000,139037000000,,187228000000,433270000000,610103000000,572678000000,37425613579,33923750805,3501862774,8904515611,2438570433,17396784310,4872356273,12524428037,8678042939,28273512819,11743089599,-21122748386,18893854032,4267031374,23160885406
신세계,N,2015,227356000000,5615889536,82335795002,102280000000,,5178260000000,2301080000000,36675321845,148144000000,,5405620000000,1267880000000,286898000000,,1293380000000,2561250000000,49225905000,1750200000000,,2844370000000,5405620000000,1486080000000,357308000000,1128770000000,944153000000,184618000000,59838575144,61819099511,520092000000,124772000000,395319000000,100644000000,200953000000,17865358916,-240896000000,-22077841549,27693731085,5615889536
신세계,N,2016,419334000000,6943130124,77588048273,174581000000,,5452500000000,2467930000000,38198288900,162839000000,,5871840000000,1596740000000,303152000000,,1287000000000,2883740000000,49225905000,1884180000000,,2988100000000,5871840000000,1643710000000,383768000000,1259940000000,1062120000000,197827000000,47913171214,44677924060,205564000000,46524175257,159040000000,165005000000,246492000000,-352499000000,107334000000,1327240588,5615889536,6943130124
신세계,N,2017,612468000000,111149000000,68661289921,210049000000,,5459430000000,2417360000000,41167726417,161812000000,,6071900000000,2029090000000,305818000000,,903976000000,2933060000000,49225905000,1993220000000,,3138840000000,6071900000000,1665520000000,351046000000,1314470000000,1094670000000,219809000000,33523173164,86061174903,187434000000,45331984243,142102000000,171886000000,309703000000,-166097000000,-39400322540,104206000000,6943130124,111149000000
신세계,N,2018,485188000000,214781000000,59521319825,179678000000,,5604510000000,2314150000000,27657444793,160784000000,,6089700000000,1449200000000,335130000000,,1500300000000,2949500000000,49225905000,2137580000000,,3140200000000,6089700000000,1739330000000,345364000000,1393960000000,1151700000000,242259000000,43734776248,47341627212,244753000000,57998256753,186755000000,28307710451,366246000000,-319847000000,57232625117,103631000000,111149000000,214781000000
신세계,N,2019,401089000000,70713903463,61359126632,239879000000,,6864810000000,1959430000000,25840748500,149943000000,,7265900000000,1433870000000,337432000000,,2060830000000,3494700000000,49225905000,2792050000000,,3771200000000,7265900000000,1557610000000,284752000000,1272860000000,1050760000000,222096000000,56032065093,73148602901,945562000000,239606000000,705956000000,675159000000,308597000000,-178547000000,-274117000000,-144067000000,214781000000,70713903463
삼성엔지니어링,N,2015,2953320000000,453900000000,,677426000000,,1663170000000,648479000000,48506503048,,,4616490000000,2934840000000,1276960000000,,2112840000000,5047670000000,200000000000,-476796000000,,-431185000000,4616490000000,4922720000000,5735480000000,-812756000000,324211000000,-1136970000000,42933003950,48808386372,-1519050000000,-169821000000,-1349230000000,-1273570000000,-683689000000,-73336959187,941908000000,202515000000,251385000000,453900000000
삼성엔지니어링,N,2016,2870140000000,506654000000,,889795000000,,1767270000000,628502000000,94182806489,,,4637410000000,2778590000000,990777000000,,943093000000,3721690000000,980000000000,-410455000000,,915721000000,4637410000000,5601620000000,5083560000000,518056000000,385254000000,132803000000,45821599354,40781102423,15560063023,17626006220,-2065943197,1392067176,176960000000,-727529000000,597111000000,52753649062,453900000000,506654000000
삼성엔지니어링,N,2017,2516640000000,354998000000,,1174280000000,,1690070000000,408065000000,69667771799,193262000000,,4206710000000,2431720000000,358233000000,,950335000000,3382050000000,980000000000,-76162528404,,824657000000,4206710000000,4503780000000,4308150000000,195633000000,296654000000,-101021000000,50724176277,78302852135,-52429693340,26010136763,-78439830103,-91063942959,-220718000000,-322914000000,391977000000,-151656000000,506654000000,354998000000
삼성엔지니어링,N,2018,2419900000000,136607000000,,1341950000000,,1583720000000,388164000000,53505730348,190498000000,,4003620000000,2853660000000,449638000000,,323856000000,3177510000000,980000000000,-42042261029,,826109000000,4003620000000,4277760000000,3952790000000,324970000000,319723000000,5246565432,27506800865,60775126099,85521798474,50687514359,34834284115,3501320363,687637000000,-306635000000,-599393000000,-218391000000,354998000000,136607000000
삼성엔지니어링,N,2019,2128020000000,153684000000,,1177480000000,,1537640000000,386330000000,34346318265,187751000000,,3665660000000,2481890000000,439544000000,,248892000000,2730790000000,980000000000,82210601536,,934873000000,3665660000000,4771300000000,4236250000000,535040000000,341066000000,193974000000,33249009469,35310391146,181412000000,57115946577,124296000000,108765000000,610356000000,-231603000000,-361676000000,17076627273,136607000000,153684000000
만도,N,2015,859306000000,55181584214,134679000000,536766000000,,1896710000000,996063000000,135319000000,,,2756020000000,1149280000000,442588000000,,607019000000,1756300000000,46957120000,40559943306,,999724000000,2756020000000,3094150000000,2728250000000,365901000000,303112000000,62788896230,12125991047,37999441188,66462548314,20511054416,45951493898,6789452478,199639000000,-226814000000,31334027868,4159941200,51021643014,55181584214
만도,N,2016,889370000000,48136166707,146859000000,592174000000,,1921060000000,967914000000,177082000000,,,2810430000000,899121000000,455780000000,,895851000000,1794970000000,46957120000,414613000000,,1015460000000,2810430000000,3141620000000,2749460000000,392158000000,332277000000,59880643609,10286506716,35694298297,54953638211,4562509940,50391128271,70485640539,142285000000,-154345000000,5015080079,-7045417507,55181584214,48136166707
만도,N,2017,724440000000,45093328777,128830000000,467469000000,,1985310000000,954050000000,201870000000,,,2709750000000,1058320000000,347085000000,,767627000000,1825940000000,46957120000,274031000000,,883804000000,2709750000000,3095560000000,2821630000000,273926000000,346910000000,-72983597514,17980381253,47069672175,-128818000000,-42781095758,-86036975568,-75028640278,183699000000,-170631000000,-16111306203,-3042837930,48136166707,45093328777
만도,N,2018,776918000000,58443922939,128597000000,502675000000,,1937100000000,910018000000,191803000000,,,2714020000000,1037380000000,384679000000,,769888000000,1807270000000,46957120000,308322000000,,906745000000,2714020000000,3108350000000,2729390000000,378961000000,283566000000,94174118987,1360710549,31229696147,53987517252,-4037595820,58025113072,40411952404,144098000000,-122991000000,-7756235007,13350594162,45093328777,58443922939
만도,N,2019,877869000000,80946271569,146639000000,535713000000,,1928180000000,885844000000,147095000000,,,2806050000000,856778000000,405562000000,,995345000000,1852120000000,46957120000,357273000000,,953931000000,2806050000000,3323370000000,2837550000000,485826000000,340226000000,144922000000,3596994142,18465213604,116014000000,30024319183,85989917436,78026784941,-8337473585,-182449000000,213289000000,22502348630,58443922939,80946271569
호텔신라,N,2015,917013000000,299874000000,411250000000,123170000000,,1296540000000,702779000000,29500894711,,,2213550000000,517605000000,274254000000,,849847000000,1367450000000,200000000000,88907174898,,846098000000,2213550000000,2782230000000,-2648710000000,133524000000,0,133524000000,14655731186,-30573312232,107098000000,25657162421,81440566098,89876362821,81440566098,-268674000000,210004000000,136510000000,163363000000,299874000000
호텔신라,N,2016,946652000000,314652000000,404497000000,167612000000,,1087540000000,674762000000,47696259289,,,2034190000000,619070000000,304417000000,,636055000000,1255120000000,200000000000,486986000000,,779067000000,2034190000000,3155130000000,-3042070000000,113060000000,0,113060000000,23232701121,32056191593,64426519942,23960887219,40465632723,47318201589,40465632723,150944000000,-285422000000,14778759029,299874000000,314652000000
호텔신라,N,2017,998607000000,430673000000,395211000000,136201000000,,1263030000000,657378000000,40434741511,,,2261640000000,792871000000,349846000000,,682037000000,1474910000000,200000000000,494651000000,,786733000000,2261640000000,3362980000000,-3263550000000,99426197097,0,99426197097,8809334574,-21707613416,40889552887,18541744404,22347808483,20951455875,256361000000,-254756000000,114416000000,116021000000,314652000000,430673000000
호텔신라,N,2018,1025540000000,211713000000,589116000000,166603000000,,1218660000000,651278000000,39551064561,,,2244200000000,840960000000,418516000000,,539937000000,1380900000000,200000000000,571221000000,,863302000000,2244200000000,3643940000000,-3441070000000,202871000000,0,202871000000,14366546082,-18015586382,125966000000,-33389663857,92575919226,89855281115,93610266979,-80705306871,-231865000000,-218960000000,430673000000,211713000000
호텔신라,N,2019,1435620000000,437782000000,720945000000,226151000000,,1636080000000,639858000000,45515656851,,,3071700000000,1239020000000,588154000000,,852152000000,2091180000000,200000000000,688439000000,,980521000000,3071700000000,4567740000000,-4283310000000,284428000000,0,284428000000,15329728310,-29621075799,187974000000,-53240324040,134734000000,130504000000,364728000000,-83443839042,-55215360231,226069000000,211713000000,437782000000
